c_custkey	c_name	revenue	c_acctbal	n_name	c_address	c_phone	c_comment
262	Customer#000000262	400291.5630	1561.80	EGYPT	DcUOAFBxMu8oGKvIqbDx7xgeZ	14-698-169-5201	ress packages above the ironic accounts are against the ironic pinto beans. carefully final accoun
973	Customer#000000973	389813.4555	3229.18	ALGERIA	FT4jTOdVCpmYW	10-749-928-5415	sly special requests integrate carefully along the special foxes. regular, silent
1018	Customer#000001018	362341.3676	8341.71	CHINA	yldxLZOgQwzrXh3t4yktykZZV8v,vK2c6pVr	28-450-764-4871	e quickly around the quick, regular pinto beans. regular, regul
790	Customer#000000790	352765.4580	2724.98	ALGERIA	CR bzmYYVP	10-368-832-9671	riously final requests haggle to the blithely special requests. blithely pending gifts after the carefully silent id
1762	Customer#000001762	337207.9213	1171.92	MOROCCO	LD,Y0Xj io6wJYOZJI	25-319-745-1408	ng accounts. thinly regular packages across the furiously ironic accounts wake fluffily accounts
316	Customer#000000316	330792.4686	4571.78	INDIA	zE dN3aqjaG	18-171-394-5011	egular ideas cajole around the ironic, pending deposits. furiously pending dolphins serve blithely regular 
1511	Customer#000001511	327914.4275	2757.29	EGYPT	Lh9VKgOjqeJ5P5veH6NKZG3We	14-230-666-6671	xes. ironic, special dolphins against the regular accounts haggle carefully across the f
1399	Customer#000001399	322325.2933	7352.14	ALGERIA	FOuY,endAFj	10-775-919-7154	foxes across the silent platelets haggle fluffily special requests. unusu
397	Customer#000000397	319328.0045	709.46	GERMANY	EzR2BKJ85SmBDS	17-103-357-8777	al theodolites. regular accounts are regular, silent foxes. unusual asymptotes above t
2191	Customer#000002191	318989.8609	2005.99	GERMANY	 GZDL8ov p2eSGYvF5N	17-107-715-5454	ic dependencies about the furiously 
2216	Customer#000002216	312953.5473	7685.67	INDIA	2RAIV5UdIqf05roYh,ZJZ31svG8RqR 0vZ3w	18-769-834-9358	endencies will have to cajole carefully. final accounts wake furiously against the fur
1105	Customer#000001105	306554.0696	9491.46	RUSSIA	cZhhOUzv6,Vbaa2bFT	32-885-298-6750	y final packages. furiously ironic packages was. fluffily ironic instructions integrate
2170	Customer#000002170	300041.0321	3486.76	JAPAN	8YNPk0 eMPFxdCGNN0h6JJjCtvGgJYel	22-546-227-2477	fily regular ideas-- foxes detect across the stealthily special foxes. quickly express accounts against the e
1891	Customer#000001891	298997.3012	3069.79	INDONESIA	xdhHnr2OrFVgZSEY190	19-323-409-2180	ording to the blithely final requests. requests sleep quickly according to the ironic, even deposits. blithely ir
1639	Customer#000001639	290140.0875	6651.19	ARGENTINA	QWbeop69wQqRFQbySM7WqPGTSd7fW6QMFYIjL	11-304-833-1391	nt deposits cajole slyly blithe pinto bea
499	Customer#000000499	289752.7130	4293.76	KENYA	m1hO3VXQVbwTbJ99Hw	24-387-817-9149	old sentiments cajole carefully among the blithely unusual requests. final packages nag careful
1801	Customer#000001801	282908.1344	6806.86	CANADA	8ZC3HFVDQGf23cjelZL0wa	13-994-265-8339	es sleep carefully along the quickly regular accounts. furiously unusual packages must are permanent accou
1546	Customer#000001546	275521.7555	4488.33	SAUDI ARABIA	kFu hXaTK2Vk	30-788-120-7833	sts haggle furiously. even, regular packages sleep. idly idle somas affix furiousl
436	Customer#000000436	274213.7009	5896.87	ROMANIA	4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z	29-927-687-6390	olites engage carefully. slyly ironic asymptotes about the ironi
